Structure,Specie,Site,Energy (eV)
0.766-41,H,H_2,-12013.222247
0.766-41,H,H_3,-12012.375121
0.766-41,H,H_4,-12012.375656
0.766-41,H,H_5,-12012.374899
0.766-41,H,H_6,-12012.373732
0.766-41,H,H_7,-12013.342251
0.766-41,H,H_8,-12014.393278
0.766-41,H,H_9,-12012.374439
0.766-41,H,H_10,-12013.341394
0.766-41,H,H_11,-12013.222484
0.766-41,H,H_12,-12012.376423
0.766-41,H,H_13,-12013.343560
0.766-41,H,H_14,-12013.225754
0.766-41,H,H_15,-12012.374251
0.766-41,H,H_16,-12014.041069
0.766-41,H,H_17,-12014.392676
0.766-41,H,H_18,-12012.374335
0.766-41,H,H_19,-12012.374280
0.766-41,H,H_20,-12013.226337
0.766-41,H,H_21,-12012.375783
0.766-41,H,H_22,-12013.344069
0.766-41,H,H_23,-12013.225766
0.766-41,H,H_24,-12012.374240
0.766-41,OH,OH_1,-12578.960157
0.766-41,OH,OH_2,-12579.671821
0.766-41,OH,OH_3,-12578.960614
0.766-41,OH,OH_4,-12578.959654
0.766-41,OH,OH_5,-12579.707669
0.766-41,OH,OH_6,-12578.954384
0.766-41,OH,OH_7,-12581.043587
0.766-41,OH,OH_8,-12580.876104
0.766-41,OH,OH_9,-12578.955088
0.766-41,OH,OH_10,-12578.961187
0.766-41,OH,OH_11,-12579.673224
0.766-41,OH,OH_12,-12578.958547
0.766-41,OH,OH_13,-12578.959613
0.766-41,OH,OH_14,-12579.673507
0.766-41,OH,OH_15,-12578.958490
0.766-41,OH,OH_16,-12578.958997
0.766-41,OH,OH_17,-12580.873181
0.766-41,OH,OH_18,-12578.960861
0.766-41,OH,OH_19,-12578.958793
0.766-41,OH,OH_20,-12580.875186
0.766-41,OH,OH_21,-12578.961475
0.766-41,OH,OH_22,-12578.958959
0.766-41,OH,OH_23,-12579.674335
0.766-41,OH,OH_24,-12578.959070
0.766-41,OOH,OOH_1,-13142.906766
0.766-41,OOH,OOH_2,-13143.705632
0.766-41,OOH,OOH_3,-13142.918803
0.766-41,OOH,OOH_4,-13142.401544
0.766-41,OOH,OOH_5,-13142.844709
0.766-41,OOH,OOH_6,-13142.485754
0.766-41,OOH,OOH_7,-13143.882843
0.766-41,OOH,OOH_8,-13144.911220
0.766-41,OOH,OOH_9,-13142.894964
0.766-41,OOH,OOH_10,-13142.320353
0.766-41,OOH,OOH_11,-13144.883302
0.766-41,OOH,OOH_12,-13142.687923
0.766-41,OOH,OOH_13,-13142.399578
0.766-41,OOH,OOH_14,-13144.940667
0.766-41,OOH,OOH_15,-13142.917990
0.766-41,OOH,OOH_16,-13142.904787
0.766-41,OOH,OOH_17,-13144.929376
0.766-41,OOH,OOH_18,-13142.911101
0.766-41,OOH,OOH_19,-13142.906937
0.766-41,OOH,OOH_20,-13143.692222
0.766-41,OOH,OOH_21,-13142.893250
0.766-41,OOH,OOH_22,-13142.915022
0.766-41,OOH,OOH_23,-13143.720803
0.766-41,OOH,OOH_24,-13142.508251
0.766-41,O,O_1,-12562.205630
0.766-41,O,O_2,-12561.669793
0.766-41,O,O_3,-12562.206432
0.766-41,O,O_4,-12562.203831
0.766-41,O,O_5,-12562.203935
0.766-41,O,O_6,-12562.203578
0.766-41,O,O_7,-12564.155922
0.766-41,O,O_8,-12562.546640
0.766-41,O,O_9,-12562.201429
0.766-41,O,O_10,-12562.206497
0.766-41,O,O_11,-12561.666822
0.766-41,O,O_12,-12562.203156
0.766-41,O,O_13,-12563.257564
0.766-41,O,O_14,-12561.663565
0.766-41,O,O_15,-12562.200584
0.766-41,O,O_16,-12565.136536
0.766-41,O,O_17,-12562.534313
0.766-41,O,O_18,-12562.202348
0.766-41,O,O_19,-12562.202576
0.766-41,O,O_20,-12562.536580
0.766-41,O,O_21,-12562.198228
0.766-41,O,O_22,-12562.198520
0.766-41,O,O_23,-12561.669318
0.766-41,O,O_24,-12562.200987
0.797-320,H,H_1,-14191.623875
0.797-320,H,H_2,-14191.665750
0.797-320,H,H_3,-14191.638731
0.797-320,H,H_4,-14191.669869
0.797-320,H,H_5,-14191.539865
0.797-320,H,H_6,-14191.647459
0.797-320,H,H_7,-14191.597495
0.797-320,H,H_8,-14191.598052
0.797-320,H,H_9,-14185.006590
